"platform","brand","keyword_matched","text","created_at","date","author","like_count","repost_count","post_uri"
"Bluesky","galaxy note","galaxy note","LA Galaxy  vs Minnesota United The model predicts that LA Galaxy won’t finish the season on a high note.  With injuries, however, I’m not confident in Minnesota United, either. #LegionofLoons","2025-10-16T18:55:46.171Z","2025-10-16 18:55:46.171000+00:00","bobvsoccer.bsky.social","0","0","at://did:plc:ldvhybtxiqgefxbbjmrfosaj/app.bsky.feed.post/3m3dgp4u6742m"
"Bluesky","galaxy note","galaxy note","pixel 10 fold is the new galaxy note 7 and iphone 6 combined","2025-10-17T12:35:48.059Z","2025-10-17 12:35:48.059000+00:00","jeder.at.miau.jeder.pl","0","0","at://did:plc:jk3pkgc4s5curzxnykglnonf/app.bsky.feed.post/3m3fbycnotpc2"
"Bluesky","galaxy note","galaxy note","Think about the Samsung Galaxy Note 5 keyboard cover, but bluetooth.","2025-10-17T16:48:48.319Z","2025-10-17 16:48:48.319000+00:00","andjohn.bsky.social","0","0","at://did:plc:duxvkmqo6gqqnjhlen734k6o/app.bsky.feed.post/3m3fq2zdaks2n"
"Bluesky","galaxy note","galaxy note","187. Cinder House by Freya Marske. Fantasy. Appreciated this a bit more than I actually enjoyed it, but it delighted me endlessly; such a cool take on ghosts, and adored the ending! The author's note at the end was a galaxy-brain moment, made me think about everything in a very different way!","2025-10-17T18:30:32.243Z","2025-10-17 18:30:32.243000+00:00","raenbowpunk.bsky.social","2","0","at://did:plc:ho4ew7b33zsoighss6ofcbd6/app.bsky.feed.post/3m3fvqwiat22s"
"Bluesky","galaxy note","galaxy note","Đã ghi nhận. Tôi sẽ tập trung vào nội dung liên quan đến tháng 10 năm 2025. Hãy cho tôi biết bạn cần thông tin cụ thể gì về thời điểm này? Đã ghi nhận. Tôi sẽ tập trung vào nội dung liên quan đến tháng 10 năm 2025. Hãy cho tôi biết bạn cần thông tin cụ thể gì về thời điểm này? Giới thiệu Điện…","2025-10-17T18:53:10Z","2025-10-17 18:53:10+00:00","queenvn.bsky.social","0","0","at://did:plc:olk6mhrifauaodxiquffevdd/app.bsky.feed.post/3m3fwzhhvyj2d"
"Bluesky","galaxy note","galaxy note","Almost forgot the mid-month reminder that my #scifi novel ""Doctor Galaxy"" is a Kindle Monthly Deal this October. A reality TV show for a galaxy of aliens, starring our own human doctor Alexi Sur!","2025-10-17T22:57:56.702Z","2025-10-17 22:57:56.702000+00:00","jennyschwartz.bsky.social","2","0","at://did:plc:gpu5szddqhsd4f4ns3glch54/app.bsky.feed.post/3m3gep3oatk2c"
"Bluesky","galaxy note","galaxy note","Me when my phone is a Samsung Galaxy Note 7","2025-10-17T23:55:21.579Z","2025-10-17 23:55:21.579000+00:00","abnormal.gay","3","0","at://did:plc:tjantiw4j4ownmsjb2hxhdtt/app.bsky.feed.post/3m3ghvqxkjs2o"
"Bluesky","galaxy note","galaxy note","haven't even watched death note but even i feel that zeroing in on ""light isn't actually the 12d chess galaxy brain genius they play him up to be"" is literally the least compelling way to look at it even as a jokey for fun thing lol","2025-10-17T23:56:29.700Z","2025-10-17 23:56:29.700000+00:00","itmetch.bsky.social","0","0","at://did:plc:kjt4bn7ymk6kqizaned2bkz2/app.bsky.feed.post/3m3ghxuhc4u2l"
"Bluesky","galaxy note","galaxy note","the world if samsung galaxy note 9 bootloader signing key leak","2025-10-18T20:22:29.769Z","2025-10-18 20:22:29.769000+00:00","aagaming.me","24","1","at://did:plc:owu62bybwircbrojnru5axov/app.bsky.feed.post/3m3imi2c4gk2s"
"Bluesky","galaxy note","galaxy note","Galaxy Analyst Explains Why Bull Run Is Far From Over October’s wobble hasn’t broken the cycle, Alex Thorn, Galaxy Digital’s head of research, argues. The note was first sent to subscribers of Galaxy Research’s Weekly Research Brief and later reproduced on X. Thorn says the Oct. 10 sell-off began…","2025-10-19T01:22:13Z","2025-10-19 01:22:13+00:00","finovohub.bsky.social","0","0","at://did:plc:icwqhvf64bhfyv37tqxfjrjl/app.bsky.feed.post/3m3j5a2gwcy2p"
"Bluesky","galaxy note","galaxy note","Useless Halloween (kind of) music and video game fact that I thought I would share: ""Waltz of the Boos"" from Super Mario Galaxy begins with three notes (A, D, and E) that create a 4-note arpeggio in an order that spells the word ""dead"". Just sharing a useless fact. Bonus:  It appears in once","2025-10-19T02:34:48.209Z","2025-10-19 02:34:48.209000+00:00","louisianajones83.bsky.social","1","0","at://did:plc:fwxvogc3qt4fz4rb4f52oadn/app.bsky.feed.post/3m3jbbrupmk2l"
"Bluesky","galaxy note","galaxy note","There Are Three Major Tailwinds for Crypto’s Next Rally, Says Galaxy Digital’s Alex Thorn October’s wobble hasn’t broken the cycle, Alex Thorn, Galaxy Digital’s head of research, argues. The note was first sent to subscribers of Galaxy Research’s Weekly Research Brief and later reproduced on X.…","2025-10-19T04:10:52Z","2025-10-19 04:10:52+00:00","earlybirdsinvest.bsky.social","0","0","at://did:plc:pvbujilqmvpgb6todis2cfwd/app.bsky.feed.post/3m3jgnn3xgu2w"
"Bluesky","galaxy note","galaxy note","Diwali Sale FEDUS 8K Ultra HD HDMI Connector Male to Female Converter, Product Description Right Angle USB C Adapter 40Gbps Feature Support the 240W PD Fast charging, can realize the maximum 5V/3A-20V/5A, can provid the fastest possible charging for your devices. Compatible designed for most Type…","2025-10-19T14:14:58Z","2025-10-19 14:14:58+00:00","bhulekhup.bsky.social","0","0","at://did:plc:qkj6rzqlkyicthgrcf6db7qj/app.bsky.feed.post/3m3kiftvnn22e"
"Bluesky","galaxy note","galaxy note","I remember giving someone shit for getting a galaxy note 2 because it was pointlessly large, but these days it'd be considered normal","2025-10-19T15:15:28.816Z","2025-10-19 15:15:28.816000+00:00","retr0.id","1","0","at://did:plc:vwzwgnygau7ed7b7wt5ux7y2/app.bsky.feed.post/3m3klry5hw22z"
"Bluesky","galaxy note","galaxy note","This is what I kind of love about the tyranids in 40k. They believe in no ideology, they seek no conquest. They just want to eat everything the galaxy has for consumption before moving on. Some people think this makes them one note but I dig it. I appreciate something with understandable goals","2025-10-19T19:09:57.705Z","2025-10-19 19:09:57.705000+00:00","voicesbyzane.bsky.social","4","0","at://did:plc:wiw2flcb762ybvhg7gj3bf2k/app.bsky.feed.post/3m3kyvbbue22z"
"Bluesky","galaxy note","galaxy note","Quick side note; although already mentioned in about post I would still like to include those two for future reference","2025-10-19T22:04:34.688Z","2025-10-19 22:04:34.688000+00:00","pennoms.bsky.social","1","0","at://did:plc:37eogxsmip6krgz5h7p6xmey/app.bsky.feed.post/3m3lcniwnl22x"
"Bluesky","galaxy note","galaxy note","Galaxy A73 joins the One UI 8 update party This week starts on a good note for all Galaxy A73 users, as the phone has started getting the One UI 8.0 update. It brings several new and improved featu... #Firmware #Phone #Android #16 #Galaxy #A73 #One #UI #8.0 Origin | Interest | Match","2025-10-20T04:14:28.000Z","2025-10-20 04:14:28+00:00","android.activitypub.awakari.com.ap.brid.gy","0","0","at://did:plc:etkadjdby46s2skc4shoxp6q/app.bsky.feed.post/3m3lzcerzjp62"
"Bluesky","galaxy note","galaxy note","Galaxy A73 joins the One UI 8 update party This week starts on a good note for all Galaxy A73 users, as the phone has started getting the One UI 8.0 update. It brings several new and improved featu... #Firmware #Phone #Android #16 #Galaxy #A73 #One #UI #8.0 Origin | Interest | Match","2025-10-20T04:14:28.000Z","2025-10-20 04:14:28+00:00","android.activitypub.awakari.com.ap.brid.gy","0","0","at://did:plc:etkadjdby46s2skc4shoxp6q/app.bsky.feed.post/3m3lzcvg3lw62"
"Bluesky","galaxy note","galaxy note","Galaxy A73 joins the One UI 8 update party This week starts on a good note for all Galaxy A73 users, as the phone has started getting the One UI 8.0 update. It brings several new and improved featu... #Firmware #Phone #Android #16 #Galaxy #A73 #One #UI #8.0 Origin | Interest | Match","2025-10-20T04:14:28.000Z","2025-10-20 04:14:28+00:00","android.activitypub.awakari.com.ap.brid.gy","0","0","at://did:plc:etkadjdby46s2skc4shoxp6q/app.bsky.feed.post/3m3mne5lobuq2"
"Bluesky","galaxy note","galaxy note","# Samsung Galaxy Note 20 Ultra 256GB: Đỉnh Cao Công Nghệ – Trải Nghiệm Đẳng Cấp Samsung Galaxy Note 20 Ultra 256GB: Đỉnh Cao Công Nghệ - Trải Nghiệm Đẳng Cấp Tháng 10 năm 2025 - Samsung Galaxy Note 20 Ultra 256GB tiếp tục là lựa chọn hàng đầu cho những người dùng công nghệ đam mê hiệu suất và…","2025-10-20T04:18:49Z","2025-10-20 04:18:49+00:00","queenvn.bsky.social","0","0","at://did:plc:olk6mhrifauaodxiquffevdd/app.bsky.feed.post/3m3lxkqgvph2g"
